author,datetime,content,permalink
@BedilKudil,"Sep 30, 2025 · 2:17 AM UTC",Lah... Sekolah swasta terima MBG? Kalah elit dong sama SMK anak gw 😂,https://nitter.net/BedilKudil/status/1972848284478976131#m
@konde_co,"Sep 30, 2025 · 2:15 AM UTC","Program Makan Bergizi Gratis (MBG) yang dimaksudkan memberikan akses makanan bergizi, justru meracuni. Murid diberikan makanan basi. Program ini juga bias gender, sejumlah laporan sebut relawan dapur sempat tak dibayar. Keterlibatan militer sangat kental sejak hulu hingga hilir. konde.co/2025/09/mbg-harus-d… Tim Edisi Khusus Koordinator: Luthfi Maulana Adhari Peliput: Anita Dhewy dan Luthfi Maulana Adhari Riset & Pemetaan: Luthfi Maulana Adhari Editor: Luviana Ariyanti Liputan ini merupakan bagian dari Edisi Khusus Konde.co edisi September 2025 yang menyajikan reportase dan jurnalisme data gender terkait Program Makan Bergizi Gratis (MBG) yang dicanangkan oleh Presiden RI, Prabowo Subianto, sejak Januari 2025. #EdisiKhususKondeco #MakanBergiziGratis #OkeGasAwasiRezimPrabowo",https://nitter.net/konde_co/status/1972847679991697761#m
@txtdaritaxpayer,"Sep 28, 2025 · 2:28 AM UTC","MBG must suck since 1,333 people in Bandung Barat got food poisoning. Those grew up eating the toughest street foods: cireng, cilok, cipuk, cimol, cibay, cirambay, and deadly seblak. They’re supposed to be immune to any poison. If even they fall, then MBG is beyond saving.",https://nitter.net/txtdaritaxpayer/status/1972126133534732488#m
@BBostari,"Sep 30, 2025 · 2:17 AM UTC",Makanan MBG BASI kadaluarsa juga harus distop,https://nitter.net/BBostari/status/1972848264694382981#m
@fardanayy,"Sep 29, 2025 · 1:45 PM UTC","call me barisan sakit hati, anak abah, buzzerp, penguin bokep blablabla. but ketua penguin bravely declined Israel to join the world cup & this abah just wrote a long ass tweet that your gemoy MBG okegas okegas president could never",https://nitter.net/fardanayy/status/1972659060324421900#m
@RikeSants,"Sep 30, 2025 · 2:17 AM UTC",Bukankah @prabowo mengatakan MBG untuk siswa kalangan tidak mampu sasarannya ? Lantas mengapa SD yg jelas orang tuanya mampu dan tidak keberatan iuran setiap bulan untuk makan siang anak2nya 10rb/hari “dipaksa” harus menerima MBG ? Fokus saja ke sekolah-sekolah tdk mampu.,https://nitter.net/RikeSants/status/1972848251515900413#m
@tatalizin,"Sep 30, 2025 · 2:17 AM UTC","mbg itu proyek atau program? kalau program, ga masalah toh dijeda beberapa waktu untuk evaluasi dan tuntasin sertifikasi kehigienisan dapur. kalau proyek yang ga boleh dihentiin walau sebentar, jelas takut disebut proyek mangkrak dan gagal, ya pemerintah tolol namanya.",https://nitter.net/tatalizin/status/1972848220733849648#m
@iimfahima,"Sep 26, 2025 · 1:12 AM UTC","Yang saya amati, negara ini jarang berpihak pada kepentingan golongan lemah, diantaranya anak-anak. Kenapa ngotot menyetujui 335T buat MBG? Perut siapa yang dibikin kenyang? Kalo target utamanya anak, kenapa ribuan anak keracunan diabaikan, proyek tetap jalan terus?",https://nitter.net/iimfahima/status/1971382428855111904#m
@wondo_shati,"Sep 30, 2025 · 2:17 AM UTC",MBG BGN Itu PROYEK SEKUMPULAN BAJINGAN NGRAMPOK APBN... BANGSAT KALIAN !!!!,https://nitter.net/wondo_shati/status/1972848205777011075#m
@CNNIndonesia,"Sep 29, 2025 · 11:30 PM UTC",BGN Nonaktifkan Sementara 56 SPPG Buntut Marak Laporan Keracunan MBG cnnindonesia.com/nasional/20…,https://nitter.net/CNNIndonesia/status/1972806194466275328#m
